timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1659948196426,7744,HTTP Request,200,OK,Practice 1-73,text,true,,3029,121,150,150,http://api.yinsoknara.tech/,7744,0,43
1659948196420,7834,HTTP Request,200,OK,Practice 1-72,text,true,,3023,121,150,150,http://api.yinsoknara.tech/,7834,0,44
1659948196432,7975,HTTP Request,200,OK,Practice 1-75,text,true,,3029,121,150,150,http://api.yinsoknara.tech/,7975,0,38
1659948196070,8377,HTTP Request,200,OK,Practice 1-23,text,true,,3023,121,150,150,http://api.yinsoknara.tech/,8377,0,398
1659948196426,8198,HTTP Request,200,OK,Practice 1-74,text,true,,3025,121,150,150,http://api.yinsoknara.tech/,8198,0,44
1659948196442,8219,HTTP Request,200,OK,Practice 1-76,text,true,,3025,121,150,150,http://api.yinsoknara.tech/,8219,0,37
1659948196446,8407,HTTP Request,200,OK,Practice 1-77,text,true,,3023,121,150,150,http://api.yinsoknara.tech/,8407,0,43
1659948196452,8407,HTTP Request,200,OK,Practice 1-78,text,true,,3019,121,150,150,http://api.yinsoknara.tech/,8407,0,42
1659948196478,8536,HTTP Request,200,OK,Practice 1-80,text,true,,3029,121,150,150,http://api.yinsoknara.tech/,8536,0,38
1659948196479,8591,HTTP Request,200,OK,Practice 1-79,text,true,,3031,121,150,150,http://api.yinsoknara.tech/,8591,0,41
1659948196486,8707,HTTP Request,200,OK,Practice 1-82,text,true,,3027,121,150,150,http://api.yinsoknara.tech/,8707,0,36
1659948196486,8781,HTTP Request,200,OK,Practice 1-81,text,true,,3027,121,150,150,http://api.yinsoknara.tech/,8781,0,38
1659948196495,8942,HTTP Request,200,OK,Practice 1-84,text,true,,3029,121,150,150,http://api.yinsoknara.tech/,8942,0,40
1659948196491,8974,HTTP Request,200,OK,Practice 1-83,text,true,,3027,121,150,150,http://api.yinsoknara.tech/,8974,0,44
1659948196555,9068,HTTP Request,200,OK,Practice 1-92,text,true,,3031,121,150,150,http://api.yinsoknara.tech/,9068,0,71
1659948196586,9082,HTTP Request,200,OK,Practice 1-97,text,true,,3025,121,150,150,http://api.yinsoknara.tech/,9082,0,43
1659948196524,9232,HTTP Request,200,OK,Practice 1-88,text,true,,3027,121,150,150,http://api.yinsoknara.tech/,9232,0,102
1659948196579,9291,HTTP Request,200,OK,Practice 1-96,text,true,,3033,121,150,150,http://api.yinsoknara.tech/,9291,0,47
1659948196515,9504,HTTP Request,200,OK,Practice 1-86,text,true,,3033,121,150,150,http://api.yinsoknara.tech/,9504,0,111
1659948196560,9513,HTTP Request,200,OK,Practice 1-93,text,true,,3033,121,150,150,http://api.yinsoknara.tech/,9512,0,66
1659948196507,9668,HTTP Request,200,OK,Practice 1-85,text,true,,3027,121,150,150,http://api.yinsoknara.tech/,9668,0,118
1659948196530,9738,HTTP Request,200,OK,Practice 1-89,text,true,,3021,121,150,150,http://api.yinsoknara.tech/,9738,0,96
1659948196566,9789,HTTP Request,200,OK,Practice 1-94,text,true,,3025,121,150,150,http://api.yinsoknara.tech/,9789,0,60
1659948196541,9917,HTTP Request,200,OK,Practice 1-90,text,true,,3023,121,150,150,http://api.yinsoknara.tech/,9917,0,85
1659948196576,9982,HTTP Request,200,OK,Practice 1-95,text,true,,3023,121,150,150,http://api.yinsoknara.tech/,9982,0,50
1659948196544,10132,HTTP Request,200,OK,Practice 1-91,text,true,,3021,121,150,150,http://api.yinsoknara.tech/,10132,0,82
1659948196519,10232,HTTP Request,200,OK,Practice 1-87,text,true,,3029,121,150,150,http://api.yinsoknara.tech/,10232,0,107
1659948196593,10279,HTTP Request,200,OK,Practice 1-98,text,true,,3021,121,150,150,http://api.yinsoknara.tech/,10279,0,45
1659948196602,10346,HTTP Request,200,OK,Practice 1-99,text,true,,3027,121,150,150,http://api.yinsoknara.tech/,10346,0,41
1659948196605,10442,HTTP Request,200,OK,Practice 1-100,text,true,,3019,121,150,150,http://api.yinsoknara.tech/,10442,0,38
1659948196615,10522,HTTP Request,200,OK,Practice 1-101,text,true,,3025,121,150,150,http://api.yinsoknara.tech/,10522,0,37
1659948196624,10624,HTTP Request,200,OK,Practice 1-102,text,true,,3027,121,150,150,http://api.yinsoknara.tech/,10624,0,41
1659948196639,10736,HTTP Request,200,OK,Practice 1-104,text,true,,3027,121,150,150,http://api.yinsoknara.tech/,10736,0,43
1659948196630,10840,HTTP Request,200,OK,Practice 1-103,text,true,,3029,121,150,150,http://api.yinsoknara.tech/,10840,0,48
1659948196641,10925,HTTP Request,200,OK,Practice 1-105,text,true,,3023,121,150,150,http://api.yinsoknara.tech/,10925,0,42
1659948196650,11035,HTTP Request,200,OK,Practice 1-106,text,true,,3029,121,150,150,http://api.yinsoknara.tech/,11034,0,44
1659948196662,11112,HTTP Request,200,OK,Practice 1-108,text,true,,3021,121,150,150,http://api.yinsoknara.tech/,11112,0,41
1659948196655,11428,HTTP Request,200,OK,Practice 1-107,text,true,,3031,121,150,150,http://api.yinsoknara.tech/,11428,0,48
1659948196674,11520,HTTP Request,200,OK,Practice 1-109,text,true,,3027,121,150,150,http://api.yinsoknara.tech/,11520,0,41
1659948196678,11636,HTTP Request,200,OK,Practice 1-110,text,true,,3025,121,150,150,http://api.yinsoknara.tech/,11636,0,40
1659948196733,11668,HTTP Request,200,OK,Practice 1-5,text,true,,3029,121,150,150,http://api.yinsoknara.tech/,11667,0,0
1659948196732,11771,HTTP Request,200,OK,Practice 1-7,text,true,,3027,121,150,150,http://api.yinsoknara.tech/,11771,0,0
1659948196688,11920,HTTP Request,200,OK,Practice 1-111,text,true,,3025,121,150,150,http://api.yinsoknara.tech/,11920,0,41
1659948196692,12026,HTTP Request,200,OK,Practice 1-112,text,true,,3025,121,150,150,http://api.yinsoknara.tech/,12026,0,42
1659948196707,12090,HTTP Request,200,OK,Practice 1-114,text,true,,3031,121,150,150,http://api.yinsoknara.tech/,12085,0,37
1659948196703,12205,HTTP Request,200,OK,Practice 1-113,text,true,,3019,121,150,150,http://api.yinsoknara.tech/,12205,0,41
1659948196720,12325,HTTP Request,200,OK,Practice 1-116,text,true,,3027,121,150,150,http://api.yinsoknara.tech/,12325,0,66
1659948196726,12394,HTTP Request,200,OK,Practice 1-117,text,true,,3027,121,150,150,http://api.yinsoknara.tech/,12386,0,60
1659948196748,12465,HTTP Request,200,OK,Practice 1-120,text,true,,3021,121,150,150,http://api.yinsoknara.tech/,12465,0,47
1659948196733,12574,HTTP Request,200,OK,Practice 1-118,text,true,,3019,121,150,150,http://api.yinsoknara.tech/,12574,0,53
1659948196717,12696,HTTP Request,200,OK,Practice 1-115,text,true,,3031,121,150,150,http://api.yinsoknara.tech/,12696,0,69
1659948196747,12771,HTTP Request,200,OK,Practice 1-119,text,true,,3021,121,150,150,http://api.yinsoknara.tech/,12771,0,48
1659948196757,12886,HTTP Request,200,OK,Practice 1-121,text,true,,3037,121,150,150,http://api.yinsoknara.tech/,12886,0,43
1659948196779,12961,HTTP Request,200,OK,Practice 1-124,text,true,,3035,121,150,150,http://api.yinsoknara.tech/,12961,0,39
1659948196767,13327,HTTP Request,200,OK,Practice 1-122,text,true,,3027,121,150,150,http://api.yinsoknara.tech/,13327,0,46
1659948196779,13411,HTTP Request,200,OK,Practice 1-123,text,true,,3025,121,150,150,http://api.yinsoknara.tech/,13411,0,45
1659948196782,13520,HTTP Request,200,OK,Practice 1-125,text,true,,3023,121,150,150,http://api.yinsoknara.tech/,13520,0,44
1659948196793,13614,HTTP Request,200,OK,Practice 1-126,text,true,,3029,121,150,150,http://api.yinsoknara.tech/,13613,0,40
1659948196803,13695,HTTP Request,200,OK,Practice 1-128,text,true,,3031,121,150,150,http://api.yinsoknara.tech/,13695,0,37
1659948196796,13793,HTTP Request,200,OK,Practice 1-127,text,true,,3027,121,150,150,http://api.yinsoknara.tech/,13793,0,48
1659948196811,13959,HTTP Request,200,OK,Practice 1-129,text,true,,3021,121,150,150,http://api.yinsoknara.tech/,13959,0,43
1659948196832,13953,HTTP Request,200,OK,Practice 1-132,text,true,,3025,121,150,150,http://api.yinsoknara.tech/,13953,0,44
1659948196897,13981,HTTP Request,200,OK,Practice 1-141,text,true,,3029,121,150,150,http://api.yinsoknara.tech/,13981,0,51
1659948197095,13874,HTTP Request,200,OK,Practice 1-9,text,true,,3027,121,150,150,http://api.yinsoknara.tech/,13874,0,0
1659948197216,13843,HTTP Request,200,OK,Practice 1-10,text,true,,3029,121,150,150,http://api.yinsoknara.tech/,13843,0,0
1659948197303,13850,HTTP Request,200,OK,Practice 1-8,text,true,,3023,121,150,150,http://api.yinsoknara.tech/,13850,0,0
1659948197424,13834,HTTP Request,200,OK,Practice 1-12,text,true,,3031,121,150,150,http://api.yinsoknara.tech/,13829,0,0
1659948197512,13845,HTTP Request,200,OK,Practice 1-14,text,true,,3029,121,150,150,http://api.yinsoknara.tech/,13845,0,0
1659948197641,13815,HTTP Request,200,OK,Practice 1-13,text,true,,3027,121,150,150,http://api.yinsoknara.tech/,13815,0,0
1659948197700,13877,HTTP Request,200,OK,Practice 1-11,text,true,,3025,121,150,150,http://api.yinsoknara.tech/,13877,0,0
1659948197808,13864,HTTP Request,200,OK,Practice 1-17,text,true,,3025,121,150,150,http://api.yinsoknara.tech/,13864,0,0
1659948197905,13875,HTTP Request,200,OK,Practice 1-19,text,true,,3025,121,150,150,http://api.yinsoknara.tech/,13875,0,0
1659948196957,14929,HTTP Request,200,OK,Practice 1-150,text,true,,3025,121,150,150,http://api.yinsoknara.tech/,14929,0,40
1659948198126,13883,HTTP Request,200,OK,Practice 1-18,text,true,,3021,121,150,150,http://api.yinsoknara.tech/,13883,0,0
1659948196952,15162,HTTP Request,200,OK,Practice 1-149,text,true,,3029,121,150,150,http://api.yinsoknara.tech/,15162,0,44
1659948198303,13905,HTTP Request,200,OK,Practice 1-22,text,true,,3035,121,150,150,http://api.yinsoknara.tech/,13905,0,0
1659948198392,13908,HTTP Request,200,OK,Practice 1-1,text,true,,3027,121,150,150,http://api.yinsoknara.tech/,13906,0,0
1659948198502,13899,HTTP Request,200,OK,Practice 1-24,text,true,,3033,121,150,150,http://api.yinsoknara.tech/,13898,0,0
1659948198582,13917,HTTP Request,200,OK,Practice 1-25,text,true,,3031,121,150,150,http://api.yinsoknara.tech/,13917,0,0
1659948198678,13923,HTTP Request,200,OK,Practice 1-27,text,true,,3029,121,150,150,http://api.yinsoknara.tech/,13923,0,0
1659948198760,13945,HTTP Request,200,OK,Practice 1-26,text,true,,3023,121,150,150,http://api.yinsoknara.tech/,13945,0,0
1659948196936,15868,HTTP Request,200,OK,Practice 1-147,text,true,,3025,121,150,150,http://api.yinsoknara.tech/,15867,0,54
1659948198970,13939,HTTP Request,200,OK,Practice 1-28,text,true,,3027,121,150,150,http://api.yinsoknara.tech/,13939,0,0
1659948196921,16088,HTTP Request,200,OK,Practice 1-144,text,true,,3025,121,150,150,http://api.yinsoknara.tech/,16087,0,67
1659948199164,13956,HTTP Request,200,OK,Practice 1-31,text,true,,3029,121,150,150,http://api.yinsoknara.tech/,13956,0,0
1659948198027,15191,HTTP Request,200,OK,Practice 1-21,text,true,,3029,121,150,150,http://api.yinsoknara.tech/,15191,0,0
1659948199353,13986,HTTP Request,200,OK,Practice 1-33,text,true,,3027,121,150,150,http://api.yinsoknara.tech/,13986,0,0
1659948199471,13974,HTTP Request,200,OK,Practice 1-32,text,true,,3031,121,150,150,http://api.yinsoknara.tech/,13974,0,0
1659948199554,14007,HTTP Request,200,OK,Practice 1-35,text,true,,3027,121,150,150,http://api.yinsoknara.tech/,14007,0,0
1659948196934,16730,HTTP Request,200,OK,Practice 1-145,text,true,,3029,121,150,150,http://api.yinsoknara.tech/,16710,0,55
1659948199734,14017,HTTP Request,200,OK,Practice 1-37,text,true,,3027,121,150,150,http://api.yinsoknara.tech/,14017,0,0
1659948198859,14991,HTTP Request,200,OK,Practice 1-30,text,true,,3029,121,150,150,http://api.yinsoknara.tech/,14991,0,0
1659948199890,14066,HTTP Request,200,OK,Practice 1-38,text,true,,3031,121,150,150,http://api.yinsoknara.tech/,14066,0,0
1659948196909,17151,HTTP Request,200,OK,Practice 1-143,text,true,,3025,121,150,150,http://api.yinsoknara.tech/,17151,0,42
1659948199063,15079,HTTP Request,200,OK,Practice 1-34,text,true,,3027,121,150,150,http://api.yinsoknara.tech/,15079,0,0
1659948196909,17333,HTTP Request,200,OK,Practice 1-142,text,true,,3023,121,150,150,http://api.yinsoknara.tech/,17333,0,42
1659948197039,17289,HTTP Request,200,OK,Practice 1-6,text,true,,3031,121,150,150,http://api.yinsoknara.tech/,17288,0,0
1659948200401,14031,HTTP Request,200,OK,Practice 1-42,text,true,,3025,121,150,150,http://api.yinsoknara.tech/,14029,0,0
1659948200514,14023,HTTP Request,200,OK,Practice 1-44,text,true,,3025,121,150,150,http://api.yinsoknara.tech/,14023,0,0
1659948200613,14020,HTTP Request,200,OK,Practice 1-45,text,true,,3027,121,150,150,http://api.yinsoknara.tech/,14020,0,0
1659948200738,13997,HTTP Request,200,OK,Practice 1-46,text,true,,3027,121,150,150,http://api.yinsoknara.tech/,13997,0,0
1659948200850,14003,HTTP Request,200,OK,Practice 1-47,text,true,,3031,121,150,150,http://api.yinsoknara.tech/,14003,0,0
1659948199929,15017,HTTP Request,200,OK,Practice 1-3,text,true,,3027,121,150,150,http://api.yinsoknara.tech/,15017,0,0
1659948196947,18111,HTTP Request,200,OK,Practice 1-148,text,true,,3025,121,150,150,http://api.yinsoknara.tech/,18111,0,49
1659948200112,15046,HTTP Request,200,OK,Practice 1-40,text,true,,3027,121,150,150,http://api.yinsoknara.tech/,15046,0,0
1659948200212,15041,HTTP Request,200,OK,Practice 1-41,text,true,,3027,121,150,150,http://api.yinsoknara.tech/,15036,0,0
1659948201380,13978,HTTP Request,200,OK,Practice 1-16,text,true,,3025,121,150,150,http://api.yinsoknara.tech/,13978,0,0
1659948201519,13936,HTTP Request,200,OK,Practice 1-15,text,true,,3025,121,150,150,http://api.yinsoknara.tech/,13934,0,0
1659948201608,13945,HTTP Request,200,OK,Practice 1-52,text,true,,3027,121,150,150,http://api.yinsoknara.tech/,13945,0,0
1659948201727,13928,HTTP Request,200,OK,Practice 1-53,text,true,,3031,121,150,150,http://api.yinsoknara.tech/,13928,0,0
1659948201814,13937,HTTP Request,200,OK,Practice 1-54,text,true,,3029,121,150,150,http://api.yinsoknara.tech/,13937,0,0
1659948201929,13929,HTTP Request,200,OK,Practice 1-2,text,true,,3031,121,150,150,http://api.yinsoknara.tech/,13929,0,0
1659948200975,14992,HTTP Request,200,OK,Practice 1-48,text,true,,3029,121,150,150,http://api.yinsoknara.tech/,14992,0,0
